device,alert_type,alert_id,severity_int,device_enc,alert_type_enc,source_enc,timestamp_unix,timestamp_month,timestamp_day,source_auvik,source_meraki,source_ncentral,device_encoded,alert_type_encoded,severity_Critical,severity_Emergency,severity_Failed,severity_Normal,severity_Warning,severity_warning
asa5515x-01.kslinc.net,VPN remote gateway is Lost,164,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,0.36455520391366414,11,29,1,0,0,24,13,1,0,0,0,0,0
SFO-AZURE-ASAV,VPN remote gateway is Lost,165,0.2522693069992427,1.0391983152026858,1.1189785255255085,-0.6361464251628642,0.3645660947635476,11,29,1,0,0,23,13,1,0,0,0,0,0
asav-02.dyopathcorp.com,VPN remote gateway is Lost,166,0.2522693069992427,1.3256385399017034,1.1189785255255085,-0.6361464251628642,0.3645878764633146,11,29,1,0,0,26,13,1,0,0,0,0,0
GigabitEthernet1/0/7 on dyoOBTextsw02.dyopath.com,Interface Status Mismatch,172,-0.7220121545150741,-0.774923107891092,-0.1342774230630611,-0.6361464251628642,0.36473490293674155,11,29,1,0,0,9,7,0,0,0,0,1,0
slhvSCsw01,Network Element Offline,169,1.7136914992707177,1.7075588395003936,0.33569355765765246,-0.6361464251628642,0.364892820260052,11,29,1,0,0,30,9,0,1,0,0,0,0
CHI-CORE-SW01,Network Element Offline,167,1.7136914992707177,-1.538763707088472,0.33569355765765246,-0.6361464251628642,0.36490371110993547,11,29,1,0,0,2,9,0,1,0,0,0,0
DMG-SLO-AP03,Access Point Offline,171,-0.7220121545150741,-0.965883257690437,-1.5441903652252018,-0.6361464251628642,0.36506162843324585,11,29,1,0,0,7,0,0,0,0,0,1,0
DMG-SLO-AP01,Access Point Offline,170,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,0.36507251928312934,11,29,1,0,0,5,0,0,0,0,0,1,0
Adaptive Security Appliance 'outside' interface on dpOBTfw02.dyopathcorp.com,Internet Connection is Lost,175,1.7136914992707177,-1.8252039317874897,0.02237957051051009,-0.6361464251628642,0.4820130199069758,11,29,1,0,0,1,8,0,1,0,0,0,0
HAN-AZURE-ASAV,VPN remote gateway is Lost,177,0.2522693069992427,-0.5839629580917469,1.1189785255255085,-0.6361464251628642,0.4821872735051115,11,29,1,0,0,11,13,1,0,0,0,0,0
asa5515x-01.kslinc.net,VPN remote gateway is Lost,176,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,0.48219816435499496,11,29,1,0,0,24,13,1,0,0,0,0,0
asav-02.dyopathcorp.com,VPN remote gateway is Lost,178,0.2522693069992427,1.3256385399017034,1.1189785255255085,-0.6361464251628642,0.48223083690464535,11,29,1,0,0,26,13,1,0,0,0,0,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,184,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,0.48236697252818883,11,29,1,0,0,8,7,0,0,0,0,1,0
dyoOBTdepotsw02.dyopathcorp.com,Network Element Offline,180,1.7136914992707177,1.5165986897010484,0.33569355765765246,-0.6361464251628642,0.4825031081517323,11,29,1,0,0,28,9,0,1,0,0,0,0
slhvSCsw01,Network Element Offline,181,1.7136914992707177,1.7075588395003936,0.33569355765765246,-0.6361464251628642,0.48250855357667405,11,29,1,0,0,30,9,0,1,0,0,0,0
DMG-SLO-AP03,Access Point Offline,183,-0.7220121545150741,-0.965883257690437,-1.5441903652252018,-0.6361464251628642,0.48267191632492623,11,29,1,0,0,7,0,0,0,0,0,1,0
DMG-SLO-AP01,Access Point Offline,182,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,0.482677361749868,11,29,1,0,0,5,0,0,0,0,0,1,0
DMG-NYC-AP01,Access Point Offline,202,-0.7220121545150741,-1.2523234823894545,-1.5441903652252018,-0.6361464251628642,1.364182751318588,12,1,1,0,0,4,0,0,0,0,0,1,0
DMG-SLO-AP03,Access Point Offline,203,-0.7220121545150741,-0.965883257690437,-1.5441903652252018,-0.6361464251628642,1.364226314718122,12,1,1,0,0,7,0,0,0,0,0,1,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,204,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,1.3642317601430638,12,1,1,0,0,8,7,0,0,0,0,1,0
asa5515x-02.kslinc.net,VPN remote gateway is Lost,205,0.2522693069992427,1.230158465002031,1.1189785255255085,-0.6361464251628642,1.5014020144254707,12,1,1,0,0,25,13,1,0,0,0,0,0
HAN-AZURE-ASAV,VPN remote gateway is Lost,206,0.2522693069992427,-0.5839629580917469,1.1189785255255085,-0.6361464251628642,1.501500032074422,12,1,1,0,0,11,13,1,0,0,0,0,0
JB-PORTLAND-FW,VPN connectivity changed,207,-0.7220121545150741,-0.10656258359338436,0.9623215319519371,-0.6361464251628642,1.5015272591991309,12,1,1,0,0,14,12,0,0,0,0,0,1
Adaptive Security Appliance 'outside' interface on dpOBTfw02.dyopathcorp.com,Internet Connection is Lost,208,1.7136914992707177,-1.8252039317874897,0.02237957051051009,-0.6361464251628642,1.5406036285810503,12,1,1,0,0,1,8,0,1,0,0,0,0
asa5515x-01.kslinc.net,VPN remote gateway is Lost,209,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,1.5407887730290695,12,1,1,0,0,24,13,1,0,0,0,0,0
asav-02.dyopathcorp.com,VPN remote gateway is Lost,211,0.2522693069992427,1.3256385399017034,1.1189785255255085,-0.6361464251628642,1.5407942184540113,12,1,1,0,0,26,13,1,0,0,0,0,0
SFO-AZURE-ASAV,VPN remote gateway is Lost,210,0.2522693069992427,1.0391983152026858,1.1189785255255085,-0.6361464251628642,1.540799663878953,12,1,1,0,0,23,13,1,0,0,0,0,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,217,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,1.5409521357773217,12,1,1,0,0,8,7,0,0,0,0,1,0
dpOBTlabsw01.dyopath.com,Network Element Offline,212,1.7136914992707177,1.421118614801376,0.33569355765765246,-0.6361464251628642,1.5410991622507486,12,1,1,0,0,27,9,0,1,0,0,0,0
dyoOBTdepotsw02.dyopathcorp.com,Network Element Offline,213,1.7136914992707177,1.5165986897010484,0.33569355765765246,-0.6361464251628642,1.5411154985255737,12,1,1,0,0,28,9,0,1,0,0,0,0
dyoOBTdepotsw03.dyopathcorp.com,Network Element Offline,214,1.7136914992707177,1.6120787646007209,0.33569355765765246,-0.6361464251628642,1.5411263893754572,12,1,1,0,0,29,9,0,1,0,0,0,0
DMG-SLO-AP01,Access Point Offline,215,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,1.5412734158488843,12,1,1,0,0,5,0,0,0,0,0,1,0
DMG-SLO-AP02,Access Point Offline,216,-0.7220121545150741,-1.0613633325901095,-1.5441903652252018,-0.6361464251628642,1.541278861273826,12,1,1,0,0,6,0,0,0,0,0,1,0
JB-SEATTLE-FW,Failover Event,126,1.7136914992707177,-0.011082508693711843,-0.2909344166366323,0.9831353843426085,-1.0470568583084123,11,26,0,1,0,15,6,0,1,0,0,0,0
JB-PORTLAND-FW,Uplink Status Changed,127,-0.7220121545150741,-0.10656258359338436,0.805664538378366,0.9831353843426085,-1.0469969586340533,11,26,0,1,0,14,11,0,0,0,0,1,0
MH-BoiseOffice-MX,VPN connectivity changed,128,-0.7220121545150741,0.3708377909049782,0.9623215319519371,0.9831353843426085,-1.0469261681098105,11,26,0,1,0,18,12,0,0,0,0,0,1
JB-SEATTLE-FW,Failover Event,132,1.7136914992707177,-0.011082508693711843,-0.2909344166366323,0.9831353843426085,-0.9490337639321674,11,26,0,1,0,15,6,0,1,0,0,0,0
JB-PORTLAND-FW,Uplink Status Changed,133,-0.7220121545150741,-0.10656258359338436,0.805664538378366,0.9831353843426085,-0.9489629734079248,11,26,0,1,0,14,11,0,0,0,0,1,0
MH-Denver-MX,VPN connectivity changed,134,-0.7220121545150741,0.6572780156039958,0.9623215319519371,0.9831353843426085,-0.9489357462832161,11,26,0,1,0,21,12,0,0,0,0,0,1
MH-Denver-MX,Client IP conflict detected,144,-0.7220121545150741,0.6572780156039958,-0.9175623909309171,0.9831353843426085,-0.3609387610742317,11,27,0,1,0,21,3,0,0,0,0,0,1
MH-Chicago-MX,Client IP conflict detected,145,-0.7220121545150741,0.46631786580465073,-0.9175623909309171,0.9831353843426085,-0.3606937169518534,11,27,0,1,0,19,3,0,0,0,0,0,1
JB-SEATTLE-FW,Failover Event,149,1.7136914992707177,-0.011082508693711843,-0.2909344166366323,0.9831353843426085,-0.2432958006329009,11,28,0,1,0,15,6,0,1,0,0,0,0
JB-PORTLAND-FW,Uplink Status Changed,150,-0.7220121545150741,-0.10656258359338436,0.805664538378366,0.9831353843426085,-0.24324134638348352,11,28,0,1,0,14,11,0,0,0,0,1,0
MH-BoiseOffice-MX,VPN connectivity changed,151,-0.7220121545150741,0.3708377909049782,0.9623215319519371,0.9831353843426085,-0.24318144670912437,11,28,0,1,0,18,12,0,0,0,0,0,1
MH-BoiseOffice-MX,Client IP conflict detected,159,-0.7220121545150741,0.3708377909049782,-0.9175623909309171,0.9831353843426085,0.22717257805852925,11,29,0,1,0,18,3,0,0,0,0,0,1
MH-Dallas-MX,Client IP conflict detected,160,-0.7220121545150741,0.5617979407043232,-0.9175623909309171,0.9831353843426085,0.2274176221809075,11,29,0,1,0,20,3,0,0,0,0,0,1
MH-BoiseOffice-MX,Client IP conflict detected,161,-0.7220121545150741,0.3708377909049782,-0.9175623909309171,0.9831353843426085,0.2467924441236151,11,29,0,1,0,18,3,0,0,0,0,0,1
MH-Dallas-MX,Client IP conflict detected,162,-0.7220121545150741,0.5617979407043232,-0.9175623909309171,0.9831353843426085,0.24703204282105162,11,29,0,1,0,20,3,0,0,0,0,0,1
MH-Denver-MX,Client IP conflict detected,173,-0.7220121545150741,0.6572780156039958,-0.9175623909309171,0.9831353843426085,0.44280596032645453,11,29,0,1,0,21,3,0,0,0,0,0,1
MH-Chicago-MX,Client IP conflict detected,174,-0.7220121545150741,0.46631786580465073,-0.9175623909309171,0.9831353843426085,0.4430564498737745,11,29,0,1,0,19,3,0,0,0,0,0,1
MH-Denver-MX,Client IP conflict detected,185,-0.7220121545150741,0.6572780156039958,-0.9175623909309171,0.9831353843426085,0.5212255249124388,11,29,0,1,0,21,3,0,0,0,0,0,1
MH-Dallas-MX,Client IP conflict detected,186,-0.7220121545150741,0.5617979407043232,-0.9175623909309171,0.9831353843426085,0.5214814598847005,11,29,0,1,0,20,3,0,0,0,0,0,1
JB-SEATTLE-FW,Failover Event,187,1.7136914992707177,-0.011082508693711843,-0.2909344166366323,0.9831353843426085,0.8348928924064926,11,30,0,1,0,15,6,0,1,0,0,0,0
JB-PORTLAND-FW,Uplink Status Changed,188,-0.7220121545150741,-0.10656258359338436,0.805664538378366,0.9831353843426085,0.8349582375057935,11,30,0,1,0,14,11,0,0,0,0,1,0
MH-BoiseOffice-MX,VPN connectivity changed,189,-0.7220121545150741,0.3708377909049782,0.9623215319519371,0.9831353843426085,0.8349854646305022,11,30,0,1,0,18,12,0,0,0,0,0,1
JB-SEATTLE-FW,Failover Event,190,1.7136914992707177,-0.011082508693711843,-0.2909344166366323,0.9831353843426085,0.9917047944537525,11,30,0,1,0,15,6,0,1,0,0,0,0
JB-PORTLAND-FW,Uplink Status Changed,191,-0.7220121545150741,-0.10656258359338436,0.805664538378366,0.9831353843426085,0.9917646941281115,11,30,0,1,0,14,11,0,0,0,0,1,0
MH-BoiseOffice-MX,VPN connectivity changed,192,-0.7220121545150741,0.3708377909049782,0.9623215319519371,0.9831353843426085,0.9918354846523542,11,30,0,1,0,18,12,0,0,0,0,0,1
JB-CLACKAMAS-FW,Failover Event,193,1.7136914992707177,-0.2020426584930569,-0.2909344166366323,0.9831353843426085,1.030928190309099,11,30,0,1,0,13,6,0,1,0,0,0,0
JB-PORTLAND-FW,Uplink Status Changed,194,-0.7220121545150741,-0.10656258359338436,0.805664538378366,0.9831353843426085,1.0309771991335746,11,30,0,1,0,14,11,0,0,0,0,1,0
MH-Denver-MX,VPN connectivity changed,195,-0.7220121545150741,0.6572780156039958,0.9623215319519371,0.9831353843426085,1.0310262079580503,11,30,0,1,0,21,12,0,0,0,0,0,1
PRODDB01,CPU,155,1.2265507685135595,0.8482381654033408,-1.0742193845044883,2.602417193848081,0.16837832496257255,11,29,0,0,1,22,2,0,0,1,0,0,0
GlacierVmProd2,Disk,156,1.2265507685135595,-0.6794430329914195,-0.6042484037837746,2.602417193848081,0.1685416877108247,11,29,0,0,1,10,5,0,0,1,0,0,0
LBTDC001,Windows Event Log,157,1.2265507685135595,0.1798776411056332,1.2756355190990796,2.602417193848081,0.16871049588401862,11,29,0,0,1,17,14,0,0,1,0,0,0
HOVDC005,Service Down,158,0.2522693069992427,-0.3930028082924019,0.6490075448047948,2.602417193848081,0.16887385863227078,11,29,0,0,1,12,10,1,0,0,0,0,0
LBTDC001,Agent Status,198,-1.6962936160293909,0.1798776411056332,-1.3875333716516305,2.602417193848081,1.1877400923563588,12,1,0,0,1,17,1,0,0,0,1,0,0
LBTAMAG01,Connectivity,196,-1.6962936160293909,0.08439756620596067,-0.7609053973573459,2.602417193848081,1.1877564286311841,12,1,0,0,1,16,4,0,0,0,1,0,0
PRODDB01,Connectivity,199,-1.6962936160293909,0.8482381654033408,-0.7609053973573459,2.602417193848081,1.344568330678444,12,1,0,0,1,22,4,0,0,0,1,0,0
LBTDC001,Agent Status,201,-1.6962936160293909,0.1798776411056332,-1.3875333716516305,2.602417193848081,1.3445846669532693,12,1,0,0,1,17,1,0,0,0,1,0,0
